,Organism_uniprot,n_prot,species_name,kingdom,phylum,class,order,family,genus,DFA
465,Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae),11902,Magnaporthiopsis poae ,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthiopsis,No
466,Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast),6321,Malassezia sympodialis ,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Yes
467,Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus),9631,Marssonina brunnea f. sp. multigermtubi ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Drepanopeziza,No
468,Marssonina coronariae,9019,Marssonina coronariae,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Marssonina,No
469,Massarina eburnea CBS 473.64,12592,Massarina eburnea CBS 473.64,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Massarina,Yes
470,Massariosphaeria phaeospora,13665,Massariosphaeria phaeospora,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Massariosphaeria,Yes
471,Meira miltonrushii,7135,Meira miltonrushii,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Brachybasidiaceae,Meira,No
472,Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus),15997,Melampsora larici-populina ,NA,NA,NA,NA,NA,NA,Yes
473,Melanomma pulvis-pyrius CBS 109.77,15417,Melanomma pulvis-pyrius CBS 109.77,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Melanomma,Yes
474,Metarhizium acridum (strain CQMa 102),9491,Metarhizium acridum ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
475,Metarhizium album (strain ARSEF 1941),8078,Metarhizium album ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
476,Metarhizium anisopliae (strain ARSEF 549),10458,Metarhizium anisopliae ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
477,Metarhizium anisopliae BRIP 53293,10988,Metarhizium anisopliae BRIP 53293,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
478,Metarhizium brunneum,11135,Metarhizium brunneum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
479,Metarhizium guizhouense (strain ARSEF 977),11286,Metarhizium guizhouense ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
480,Metarhizium majus (strain ARSEF 297),11010,Metarhizium majus ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
481,Metarhizium rileyi,8599,Metarhizium rileyi,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
482,Metarhizium rileyi (strain RCEF 4871) (Nomuraea rileyi),8415,Metarhizium rileyi ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
483,Metarhizium robertsii,12132,Metarhizium robertsii,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
484,Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23)),11262,Metarhizium robertsii ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,No
485,Metschnikowia sp. JCM 33374,6424,Metschnikowia sp. JCM 33374,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,No
486,Microbotryum intermedium,7525,Microbotryum intermedium,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Microbotryum,Yes
487,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),7266,Microbotryum lychnidis-dioicae ,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Microbotryum,Yes
488,Microbotryum saponariae,9665,Microbotryum saponariae,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Microbotryum,No
489,Microbotryum silenes-dioicae,11616,Microbotryum silenes-dioicae,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Microbotryum,Yes
490,Microdochium bolleyi,12871,Microdochium bolleyi,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,No
491,Microthyrium microscopicum,12196,Microthyrium microscopicum,Fungi,Ascomycota,Dothideomycetes,Microthyriales,Microthyriaceae,Microthyrium,No
492,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),6371,Mixia osmundae ,Fungi,Basidiomycota,Mixiomycetes,Mixiales,Mixiaceae,Mixia,Yes
493,Moelleriella libera RCEF 2490,8145,Moelleriella libera RCEF 2490,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Moelleriella,No
494,Mollisia scopiformis (Conifer needle endophyte fungus) (Phialocephala scopiformis),18149,Mollisia scopiformis ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Mollisia,Yes
495,Monascus purpureus (Red mold) (Monascus anka),7853,Monascus purpureus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,Yes
496,Monilinia fructicola (Brown rot fungus) (Ciboria fructicola),13595,Monilinia fructicola ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,Yes
497,Monilinia fructigena,10479,Monilinia fructigena,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,No
498,Monilinia laxa (Brown rot fungus) (Sclerotinia laxa),12169,Monilinia laxa ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,No
499,Monilinia vaccinii-corymbosi,9031,Monilinia vaccinii-corymbosi,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,Yes
500,Moniliophthora perniciosa (strain FA553 / isolate CP02) (Witches'-broom disease fungus) (Marasmius perniciosus),12901,Moniliophthora perniciosa ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Moniliophthora,No
501,Moniliophthora roreri,19155,Moniliophthora roreri,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Moniliophthora,Yes
502,Moniliophthora roreri (strain MCA 2997) (Cocoa frosty pod rot fungus) (Crinipellis roreri),17628,Moniliophthora roreri ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Moniliophthora,Yes
503,Monosporascus ibericus,10657,Monosporascus ibericus,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
504,Monosporascus sp. 5C6A,12056,Monosporascus sp. 5C6A,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
505,Monosporascus sp. CRB-8-3,11350,Monosporascus sp. CRB-8-3,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
506,Monosporascus sp. CRB-9-2,11553,Monosporascus sp. CRB-9-2,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
507,Monosporascus sp. GIB2,11338,Monosporascus sp. GIB2,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
508,Monosporascus sp. MC13-8B,10271,Monosporascus sp. MC13-8B,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
509,Monosporascus sp. MG133,11110,Monosporascus sp. MG133,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
510,Monosporascus sp. mg162,11416,Monosporascus sp. mg162,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Monosporascus,No
511,Morchella conica CCBAS932,11248,Morchella conica CCBAS932,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,No
512,Mucor ambiguus,10841,Mucor ambiguus,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Yes
513,Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides),11800,Mucor circinelloides f. circinelloides ,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Yes
514,Mucor lusitanicus CBS 277.49,11365,Mucor lusitanicus CBS 277.49,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,No
515,Naematelia encephala,7723,Naematelia encephala,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Naemateliaceae,Naematelia,Yes
516,Neocallimastix californiae,18924,Neocallimastix californiae,Fungi,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Neocallimastix,No
517,Neohortaea acidophila,9583,Neohortaea acidophila,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Neohortaea,No
518,Neolentinus lepideus HHB14362 ss-1,12840,Neolentinus lepideus HHB14362 ss-1,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Neolentinus,Yes
519,Neonectria ditissima,12221,Neonectria ditissima,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neonectria,No
520,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus),10070,Neosartorya fischeri ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
521,Neurospora crassa,13014,Neurospora crassa,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,No
522,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),9845,Neurospora crassa ,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,No
523,Neurospora tetrasperma (strain FGSC 2508 / ATCC MYA-4615 / P0657),9991,Neurospora tetrasperma ,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,No
524,Neurospora tetrasperma (strain FGSC 2509 / P0656),10789,Neurospora tetrasperma ,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,No
525,Oidiodendron maius (strain Zn),16292,Oidiodendron maius ,Fungi,Ascomycota,Leotiomycetes,NA,Myxotrichaceae,Oidiodendron,No
526,Ophiobolus disseminans,15640,Ophiobolus disseminans,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiobolus,Yes
527,Ophiocordyceps australis,15473,Ophiocordyceps australis,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
528,Ophiocordyceps camponoti-leonardi (nom. inval.),6686,Ophiocordyceps camponoti-leonardi ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
529,Ophiocordyceps camponoti-rufipedis,7287,Ophiocordyceps camponoti-rufipedis,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
530,Ophiocordyceps camponoti-saundersi (nom. inval.),6591,Ophiocordyceps camponoti-saundersi ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
531,Ophiocordyceps polyrhachis-furcata BCC 54312,9672,Ophiocordyceps polyrhachis-furcata BCC 54312,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
532,Ophiocordyceps sinensis (strain Co18 / CGMCC 3.14243) (Yarsagumba caterpillar fungus) (Hirsutella sinensis),6768,Ophiocordyceps sinensis ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
533,Ophiocordyceps unilateralis (Zombie-ant fungus) (Torrubia unilateralis),8370,Ophiocordyceps unilateralis ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,No
534,Ophiostoma piceae (strain UAMH 11346) (Sap stain fungus),8410,Ophiostoma piceae ,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,No
535,Orbilia oligospora (Nematode-trapping fungus) (Arthrobotrys oligospora),54572,Orbilia oligospora ,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Yes
536,Panaeolus cyanescens,12740,Panaeolus cyanescens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,Yes
537,Paracoccidioides brasiliensis,14322,Paracoccidioides brasiliensis,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,Paracoccidioides,No
538,Paracoccidioides brasiliensis (strain Pb03),8133,Paracoccidioides brasiliensis ,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,Paracoccidioides,No
539,Paracoccidioides brasiliensis (strain Pb18),8096,Paracoccidioides brasiliensis ,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,Paracoccidioides,Yes
540,Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis),8797,Paracoccidioides lutzii ,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,Paracoccidioides,Yes
541,Paraphaeosphaeria sporulosa,14398,Paraphaeosphaeria sporulosa,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Yes
542,Parasitella parasitica,12718,Parasitella parasitica,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Parasitella,Yes
543,Paxillus involutus ATCC 200175,11563,Paxillus involutus ATCC 200175,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,No
544,Paxillus rubicundulus Ve08.2h10,21643,Paxillus rubicundulus Ve08.2h10,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Yes
545,Peltaster fructicola,7799,Peltaster fructicola,Fungi,Ascomycota,Dothideomycetes,NA,NA,Peltaster,Yes
546,Penicilliopsis zonata CBS 506.65,9497,Penicilliopsis zonata CBS 506.65,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicilliopsis,No
547,Penicillium antarcticum,10999,Penicillium antarcticum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
548,Penicillium arizonense,11694,Penicillium arizonense,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
549,Penicillium brasilianum,20755,Penicillium brasilianum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
550,Penicillium camemberti (strain FM 013),13949,Penicillium camemberti ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
551,Penicillium chrysogenum (Penicillium notatum),11135,Penicillium chrysogenum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
552,Penicillium coprophilum,8644,Penicillium coprophilum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
553,Penicillium decumbens,6927,Penicillium decumbens,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
554,Penicillium digitatum (Green mold),8696,Penicillium digitatum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
555,Penicillium digitatum (strain Pd1 / CECT 20795) (Green mold),8666,Penicillium digitatum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
556,Penicillium digitatum (strain PHI26 / CECT 20796) (Green mold),8704,Penicillium digitatum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
557,Penicillium expansum (Blue mold rot fungus),10760,Penicillium expansum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
558,Penicillium flavigenum,10528,Penicillium flavigenum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
559,Penicillium freii,11370,Penicillium freii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
560,Penicillium italicum (Blue mold),9562,Penicillium italicum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
561,Penicillium nalgiovense,11360,Penicillium nalgiovense,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
562,Penicillium nordicum,12568,Penicillium nordicum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
563,Penicillium occitanis (nom. inval.),10817,Penicillium occitanis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
564,Penicillium oxalicum (strain 114-2 / CGMCC 5302) (Penicillium decumbens),9648,Penicillium oxalicum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
565,Penicillium patulum (Penicillium griseofulvum),9271,Penicillium patulum ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
566,Penicillium polonicum,10318,Penicillium polonicum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
567,Penicillium roqueforti (strain FM164),11999,Penicillium roqueforti ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
568,Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum),12224,Penicillium rubens ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
569,Penicillium solitum,11549,Penicillium solitum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
570,Penicillium steckii,10054,Penicillium steckii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
571,Penicillium subrubescens,13661,Penicillium subrubescens,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Yes
572,Penicillium vulpinum,9862,Penicillium vulpinum,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,No
573,Peniophora sp. CBMAI 1063,16814,Peniophora sp. CBMAI 1063,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,No
574,Peniophora sp. CONT,18531,Peniophora sp. CONT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Yes
575,Periconia macrospinosa,18278,Periconia macrospinosa,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Yes
576,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),14924,Pestalotiopsis fici ,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,No
577,Petromyces alliaceus (Aspergillus alliaceus),22367,Petromyces alliaceus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
578,Phaeoacremonium minimum (strain UCR-PA7) (Esca disease fungus) (Togninia minima),8642,Phaeoacremonium minimum ,Fungi,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,No
579,Phaeomoniella chlamydospora,6600,Phaeomoniella chlamydospora,Fungi,Ascomycota,Eurotiomycetes,Phaeomoniellales,Phaeomoniellaceae,Phaeomoniella,Yes
580,Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum),28308,Phaeosphaeria nodorum ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,No
581,Phaffia rhodozyma (Yeast) (Xanthophyllomyces dendrorhous),6231,Phaffia rhodozyma ,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Phaffia,Yes
582,Phanerochaete carnosa (strain HHB-10118-sp) (White-rot fungus) (Peniophora carnosa),13589,Phanerochaete carnosa ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Yes
583,Phellinidium pouzarii,6923,Phellinidium pouzarii,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinidium,Yes
584,Phialocephala subalpina,19562,Phialocephala subalpina,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,Yes
585,Phialophora americana,11134,Phialophora americana,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,Yes
586,Phialophora attinorum,11534,Phialophora attinorum,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,Yes
587,Phlebiopsis gigantea (strain 11061_1 CR5-6) (White-rot fungus) (Peniophora gigantea),11533,Phlebiopsis gigantea ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phlebiopsis,Yes
588,Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555),15936,Phycomyces blakesleeanus ,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Phycomycetaceae,Phycomyces,Yes
589,Pichia kudriavzevii (Yeast) (Issatchenkia orientalis),16568,Pichia kudriavzevii ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,No
590,Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) (Hybrid yeast),8562,Pichia sorbitophila ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Millerozyma,Yes
591,Piedraia hortae CBS 480.64,7335,Piedraia hortae CBS 480.64,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Piedraiaceae,Piedraia,Yes
592,Piloderma croceum (strain F 1598),20984,Piloderma croceum ,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,Yes
593,Piromyces finnis,10096,Piromyces finnis,Fungi,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Piromyces,Yes
594,Piromyces sp. (strain E2),14193,Piromyces sp. ,Fungi,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Piromyces,No
595,Pisolithus microcarpus 441,20482,Pisolithus microcarpus 441,Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,No
596,Pisolithus tinctorius Marx 270,22142,Pisolithus tinctorius Marx 270,Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,No
597,Plenodomus tracheiphilus IPT5,12815,Plenodomus tracheiphilus IPT5,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,Yes
598,Pleomassaria siparia CBS 279.74,13085,Pleomassaria siparia CBS 279.74,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Pleomassaria,Yes
599,Pleurotus ostreatus PC15,11921,Pleurotus ostreatus PC15,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,No
600,Pochonia chlamydosporia 123,10835,Pochonia chlamydosporia 123,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,No
601,Pochonia chlamydosporia 170,13678,Pochonia chlamydosporia 170,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,No
602,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina),12207,Podospora anserina ,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,No
603,Podospora comata,10053,Podospora comata,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,No
604,Polyporus arcularius HHB13444,17180,Polyporus arcularius HHB13444,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,No
605,Polyporus brumalis,17878,Polyporus brumalis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Yes
606,Polytolypa hystricis UAMH7299,9585,Polytolypa hystricis UAMH7299,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,Polytolypa,Yes
607,Postia placenta (strain ATCC 44394 / Madison 698-R) (Brown rot fungus) (Poria monticola),8787,Postia placenta ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,No
608,Postia placenta MAD-698-R-SB12,12217,Postia placenta MAD-698-R-SB12,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Postiaceae,Postia,No
609,Powellomyces hirtus,6189,Powellomyces hirtus,Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Powellomycetaceae,Powellomyces,No
610,Protomyces lactucae-debilis,6542,Protomyces lactucae-debilis,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Protomycetaceae,Protomyces,No
611,Pseudallescheria apiosperma (Scedosporium apiospermum),8179,Pseudallescheria apiosperma ,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,No
612,Pseudocercospora eumusae,11636,Pseudocercospora eumusae,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Yes
613,Pseudocercospora fijiensis (strain CIRAD86) (Black leaf streak disease fungus) (Mycosphaerella fijiensis),12726,Pseudocercospora fijiensis ,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Yes
614,Pseudocercospora musae,11648,Pseudocercospora musae,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Yes
615,Pseudogymnoascus destructans,9147,Pseudogymnoascus destructans,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,No
616,Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21) (Bat white-nose syndrome fungus) (Geomyces destructans),8836,Pseudogymnoascus destructans ,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,No
617,Pseudogymnoascus sp. 03VT05,9902,Pseudogymnoascus sp. 03VT05,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,Yes
618,Pseudogymnoascus sp. 05NY08,9929,Pseudogymnoascus sp. 05NY08,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,Yes
619,Pseudogymnoascus sp. 23342-1-I1,10280,Pseudogymnoascus sp. 23342-1-I1,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,No
620,Pseudogymnoascus sp. 24MN13,9885,Pseudogymnoascus sp. 24MN13,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,Yes
621,Pseudogymnoascus sp. VKM F-103,9289,Pseudogymnoascus sp. VKM F-103,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,No
622,Pseudogymnoascus sp. VKM F-3557,9076,Pseudogymnoascus sp. VKM F-3557,Fungi,Ascomycota,Leotiomycetes,NA,Pseudeurotiaceae,Pseudogymnoascus,No
